id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|descripcion|cantidad_presentacion|unidad_medida|marca|precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
20|1|1|6000001153532|1|QUESO TONUTTI MOZZARELLA KG.|1.00|kg|LACTEOS TONUTTI HNOS|11070.00|11070.00|1.00|kg||||
20|1|4|6000001153532|1|QUESO TONUTTI MOZZARELLA KG.|1.00|kg|LACTEOS TONUTTI HNOS|11070.00|11070.00|1.00|kg||||
20|1|1|0000000100326|0|QUESO TONUTTI MOZZARELLA TUBO KG.|1.00|kg|LACTEOS TONUTTI HNOS|10070.00|10070.00|1.00|kg||||
20|1|1|6000001088360|1|QUESO TONUTTI PORT SALUT KG.|1.00|kg|LACTEOS TONUTTI HNOS|9600.00|9600.00|1.00|kg||||
20|1|2|6000001088360|1|QUESO TONUTTI PORT SALUT KG.|1.00|kg|LACTEOS TONUTTI HNOS|9600.00|9600.00|1.00|kg||||
20|1|4|6000001088360|1|QUESO TONUTTI PORT SALUT KG.|1.00|kg|LACTEOS TONUTTI HNOS|9600.00|9600.00|1.00|kg||||
20|1|1|6000001068638|1|QUESO TONUTTI ROMANO KG.|1.00|kg|LACTEOS TONUTTI HNOS|17590.00|17590.00|1.00|kg||||
20|1|4|6000001068638|1|QUESO TONUTTI ROMANO KG.|1.00|kg|LACTEOS TONUTTI HNOS|17590.00|17590.00|1.00|kg||||
20|1|1|6000001031380|1|QUESO TONUTTI SARDO KG.|1.00|kg|LACTEOS TONUTTI HNOS|15650.00|15650.00|1.00|kg||||
20|1|2|6000001031380|1|QUESO TONUTTI SARDO KG.|1.00|kg|LACTEOS TONUTTI HNOS|15650.00|15650.00|1.00|kg||||
20|1|3|6000001031380|1|QUESO TONUTTI SARDO KG.|1.00|kg|LACTEOS TONUTTI HNOS|15650.00|15650.00|1.00|kg||||
20|1|4|6000001031380|1|QUESO TONUTTI SARDO KG.|1.00|kg|LACTEOS TONUTTI HNOS|15650.00|15650.00|1.00|kg||||
20|1|1|6000001051708|1|QUESO TONUTTI TYBO KG.          |1.00|kg|LACTEOS TONUTTI HNOS|11240.00|11240.00|1.00|kg||||
20|1|4|6000001051708|1|QUESO TONUTTI TYBO KG.          |1.00|kg|LACTEOS TONUTTI HNOS|11240.00|11240.00|1.00|kg||||
20|1|1|7790416066532|1|QUITAESMALTE CUTEX FORTALECEDOR 100|100.00|ml|REVLON|2461.00|24.61|1.00|lt||||
20|1|4|7790416066532|1|QUITAESMALTE CUTEX FORTALECEDOR 100|100.00|ml|REVLON|2461.00|24.61|1.00|lt||||
20|1|1|7790416066433|1|QUITAESMALTE CUTEX HUMECTANTE 100ML|100.00|ml|REVLON|2461.00|24.61|1.00|lt||||
20|1|4|7790416066433|1|QUITAESMALTE CUTEX HUMECTANTE 100ML|100.00|ml|REVLON|2461.00|24.61|1.00|lt||||
20|1|1|7793253021108|1|QUITAMANCHAS ARCO IRIS 1 LT.|1.00|l|CLOROX|5575.00|5575.00|1.00|lt||||
20|1|2|7793253021108|1|QUITAMANCHAS ARCO IRIS 1 LT.|1.00|l|CLOROX|5575.00|5575.00|1.00|lt||||
20|1|4|7793253021108|1|QUITAMANCHAS ARCO IRIS 1 LT.|1.00|l|CLOROX|5575.00|5575.00|1.00|lt||||
20|1|1|7793350632184|1|QUITAMANCHAS REX 180 CC.         |180.00|cm3|WASSINGTON S.A.|6450.00|35833.33|1.00|lt||||
20|1|2|7793350632184|1|QUITAMANCHAS REX 180 CC.         |180.00|cm3|WASSINGTON S.A.|6450.00|35833.33|1.00|lt||||
20|1|4|7793350632184|1|QUITAMANCHAS REX 180 CC.         |180.00|cm3|WASSINGTON S.A.|6450.00|35833.33|1.00|lt||||
20|1|1|7791130001748|1|QUITAMANCHAS VANISH DP400 PRE LAVAD|400.00|cm3|RECKITT & BENCKISER|1990.00|4975.00|1.00|lt||||
20|1|4|7791130001748|1|QUITAMANCHAS VANISH DP400 PRE LAVAD|400.00|cm3|RECKITT & BENCKISER|1990.00|4975.00|1.00|lt||||
20|1|1|7791130001854|1|QUITAMANCHAS VANISH DP400CC MULTIUS|400.00|cm3|RECKITT & BENCKISER|1990.00|4975.00|1.00|lt||||
20|1|1|7791130015219|1|QUITAMANCHAS VANISH R.BCA.DP.400CC |400.00|cm3|RECKITT & BENCKISER|1990.00|4975.00|1.00|lt||||
20|1|4|7791130015219|1|QUITAMANCHAS VANISH R.BCA.DP.400CC |400.00|cm3|RECKITT & BENCKISER|1990.00|4975.00|1.00|lt||||
20|1|1|7795145000031|1|RAVIOLES LA BIANCA POLLO 500 GRS|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|2|7795145000031|1|RAVIOLES LA BIANCA POLLO 500 GRS|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|3|7795145000031|1|RAVIOLES LA BIANCA POLLO 500 GRS|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|1|7795145000048|1|RAVIOLES LA BIANCA RICOTA 500 GRS.|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|2|7795145000048|1|RAVIOLES LA BIANCA RICOTA 500 GRS.|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|3|7795145000048|1|RAVIOLES LA BIANCA RICOTA 500 GRS.|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|1|7795145000055|1|RAVIOLES LA BIANCA VERDURAS 500 GRS|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|2|7795145000055|1|RAVIOLES LA BIANCA VERDURAS 500 GRS|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|3|7795145000055|1|RAVIOLES LA BIANCA VERDURAS 500 GRS|500.00|gr|PASTAS LA BIANCA|2200.00|4400.00|1.00|kg||||
20|1|1|7798140400301|1|RAVIOLES LA REINA 4 QUESOS 500 GRS.|500.00|gr|LA REINA|2295.00|4590.00|1.00|kg||||
20|1|2|7798140400301|1|RAVIOLES LA REINA 4 QUESOS 500 GRS.|500.00|gr|LA REINA|2295.00|4590.00|1.00|kg||||
20|1|1|7798140400097|1|RAVIOLES LA REINA CARNE-VERDURA 500|500.00|gr|LA REINA|2295.00|4590.00|1.00|kg||||
20|1|2|7798140400097|1|RAVIOLES LA REINA CARNE-VERDURA 500|500.00|gr|LA REINA|2295.00|4590.00|1.00|kg||||
20|1|1|7798140400134|1|RAVIOLES LA REINA JAMON Y QUESO 500|500.00|gr|LA REINA|2295.00|4590.00|1.00|kg||||
20|1|4|7798140400134|1|RAVIOLES LA REINA JAMON Y QUESO 500|500.00|gr|LA REINA|2295.00|4590.00|1.00|kg||||
20|1|1|7795711004357|1|RAVIOLES PRIMER PRECIO 1KG. 4 QUESO|1.00|kg|VILLA D AGRI|3590.00|3590.00|1.00|kg||||
20|1|1|7795711004364|1|RAVIOLES PRIMER PRECIO 1KG. POLL.ES|1.00|kg|VILLA D AGRI|3590.00|3590.00|1.00|kg||||
20|1|1|7795711001059|1|RAVIOLES PRIMER PRECIO 4 QUESOS 500|500.00|gr|VILLA D AGRI|2010.00|4020.00|1.00|kg||||
20|1|2|7795711001059|1|RAVIOLES PRIMER PRECIO 4 QUESOS 500|500.00|gr|VILLA D AGRI|2010.00|4020.00|1.00|kg||||
20|1|2|7795711001035|1|RAVIOLES PRIMER PRECIO P/ESP.500|500.00|gr|VILLA D AGRI|2010.00|4020.00|1.00|kg||||
20|1|1|7795711001028|1|RAVIOLES PRIMER PRECIO R/ESP.500|500.00|gr|VILLA D AGRI|2010.00|4020.00|1.00|kg||||
20|1|1|7795711001042|1|RAVIOLES PRIMER PRECIO RICOTA 500|500.00|gr|VILLA D AGRI|2010.00|4020.00|1.00|kg||||
20|1|2|7795711001042|1|RAVIOLES PRIMER PRECIO RICOTA 500|500.00|gr|VILLA D AGRI|2010.00|4020.00|1.00|kg||||
20|1|1|7790070411556|1|REBOZADOR PREFERIDO 1 KG.        |1.00|kg|MOLINOS RIO DL.PLATA|2550.00|2550.00|1.00|kg||||
